,source,target,value
66,['strengthweighted0.5abs'],['eigenvector centralityweighted0.3keep'],0.5155415573318168
67,['strengthweighted0.5abs'],['local efficiencyweighted0.3keep'],0.6935090449804465
68,['strengthweighted0.5abs'],['global efficiencyweighted0.3keep'],0.3029811936001121
69,['strengthweighted0.5abs'],['modularityweighted0.3keep'],0.11877742579456914
70,['strengthweighted0.5abs'],['participation coefficientweighted0.3keep'],0.07792933521360533
71,['strengthweighted0.5abs'],['strengthbinarize0.3keep'],0.5270903869856236
72,['strengthweighted0.5abs'],['betweennness centralitybinarize0.3keep'],-0.05283627866404806
73,['strengthweighted0.5abs'],['clusteringbinarize0.3keep'],0.47349053554099363
74,['strengthweighted0.5abs'],['eigenvector centralitybinarize0.3keep'],0.3467734948683197
75,['strengthweighted0.5abs'],['local efficiencybinarize0.3keep'],0.4770816814839597
76,['strengthweighted0.5abs'],['global efficiencybinarize0.3keep'],-0.22733617660819214
77,['strengthweighted0.5abs'],['modularitybinarize0.3keep'],0.18576944666084844
78,['strengthweighted0.5abs'],['participation coefficientbinarize0.3keep'],-0.03525820238766968
79,['strengthweighted0.5abs'],['strengthweighted0.1keep'],0.8436929192532234
80,['strengthweighted0.5abs'],['betweennness centralityweighted0.1keep'],0.21514063161917757
81,['strengthweighted0.5abs'],['clusteringweighted0.1keep'],0.30367288337715903
82,['strengthweighted0.5abs'],['eigenvector centralityweighted0.1keep'],0.46075134159806297
83,['strengthweighted0.5abs'],['local efficiencyweighted0.1keep'],0.4134832980567105
84,['strengthweighted0.5abs'],['global efficiencyweighted0.1keep'],0.28686064905212605
85,['strengthweighted0.5abs'],['modularityweighted0.1keep'],0.07369736746997453
86,['strengthweighted0.5abs'],['participation coefficientweighted0.1keep'],0.4272966524286305
87,['strengthweighted0.5abs'],['strengthbinarize0.1keep'],0.7929275065155375
88,['strengthweighted0.5abs'],['betweennness centralitybinarize0.1keep'],0.2521055033381447
89,['strengthweighted0.5abs'],['clusteringbinarize0.1keep'],0.17071123085487241
90,['strengthweighted0.5abs'],['eigenvector centralitybinarize0.1keep'],0.48187733315488235
91,['strengthweighted0.5abs'],['local efficiencybinarize0.1keep'],0.231070172057616
92,['strengthweighted0.5abs'],['global efficiencybinarize0.1keep'],-0.20142640950861423
93,['strengthweighted0.5abs'],['modularitybinarize0.1keep'],0.10807057209851458
94,['strengthweighted0.5abs'],['participation coefficientbinarize0.1keep'],0.026588147208557282
95,['strengthweighted0.5abs'],['strengthweighted0.5zero'],0.7945476884663144
96,['strengthweighted0.5abs'],['betweennness centralityweighted0.5zero'],0.20511540721647975
97,['strengthweighted0.5abs'],['clusteringweighted0.5zero'],0.8489360283276374
98,['strengthweighted0.5abs'],['eigenvector centralityweighted0.5zero'],0.4983893750468059
99,['strengthweighted0.5abs'],['local efficiencyweighted0.5zero'],0.8656584623747183
100,['strengthweighted0.5abs'],['global efficiencyweighted0.5zero'],0.3029703066553026
101,['strengthweighted0.5abs'],['modularityweighted0.5zero'],0.090050198289842
102,['strengthweighted0.5abs'],['participation coefficientweighted0.5zero'],-0.13101515107227008
103,['strengthweighted0.5abs'],['strengthbinarize0.5zero'],-0.030840424306849103
104,['strengthweighted0.5abs'],['betweennness centralitybinarize0.5zero'],-0.47855047537344375
105,['strengthweighted0.5abs'],['clusteringbinarize0.5zero'],0.6630205391336019
106,['strengthweighted0.5abs'],['eigenvector centralitybinarize0.5zero'],-0.013873681396639859
107,['strengthweighted0.5abs'],['local efficiencybinarize0.5zero'],0.6630298839357313
108,['strengthweighted0.5abs'],['global efficiencybinarize0.5zero'],0.05776370191131349
109,['strengthweighted0.5abs'],['modularitybinarize0.5zero'],0.1677931397842159
110,['strengthweighted0.5abs'],['participation coefficientbinarize0.5zero'],-0.05414035392451346
111,['strengthweighted0.5abs'],['strengthweighted0.3zero'],0.8524024229108979
112,['strengthweighted0.5abs'],['betweennness centralityweighted0.3zero'],0.2051325651371933
113,['strengthweighted0.5abs'],['clusteringweighted0.3zero'],0.6550032991025949
114,['strengthweighted0.5abs'],['eigenvector centralityweighted0.3zero'],0.5155415573318168
