source,target,value
"['strengthweighted0.5abs', '0.3227356606213898']","['betweennness centralitybinarize0.1abs', '0.31730788795108567']",0.517978736158808
"['strengthweighted0.5abs', '0.3227356606213898']","['clusteringbinarize0.1abs', '0.2893076881558361']",0.02904804246285259
"['strengthweighted0.5abs', '0.3227356606213898']","['eigenvector centralitybinarize0.1abs', '0.3461315855046765']",0.7363249393215905
"['strengthweighted0.5abs', '0.3227356606213898']","['local efficiencybinarize0.1abs', '0.31268362543843087']",0.15494529628221784
"['strengthweighted0.5abs', '0.3227356606213898']","['global efficiencybinarize0.1abs', '0.003017939867456687']",-0.19131520006525835
"['strengthweighted0.5abs', '0.3227356606213898']","['modularitybinarize0.1abs', '9.488173263738631e-07']",-0.0051638635358338455
"['strengthweighted0.5abs', '0.3227356606213898']","['participation coefficientbinarize0.1abs', '0.0023087726282219334']",0.03233071540612406
"['strengthweighted0.5abs', '0.3227356606213898']","['strengthweighted0.5keep', '0.32131581564818334']",0.8074886852918509
"['strengthweighted0.5abs', '0.3227356606213898']","['betweennness centralityweighted0.5keep', '0.24215084257740016']",-0.16322449739511655
"['strengthweighted0.5abs', '0.3227356606213898']","['clusteringweighted0.5keep', '0.3483665372436595']",0.8174223653229222
"['strengthweighted0.5abs', '0.3227356606213898']","['eigenvector centralityweighted0.5keep', '0.34169919904754953']",0.5379498760199364
"['strengthweighted0.5abs', '0.3227356606213898']","['local efficiencyweighted0.5keep', '0.2663075908661273']",0.14364292398867043
"['strengthweighted0.5abs', '0.3227356606213898']","['global efficiencyweighted0.5keep', '0.00595209082540149']",0.057719565957264254
"['strengthweighted0.5abs', '0.3227356606213898']","['modularityweighted0.5keep', '3.754337651473705e-05']",0.09146732032788385
"['strengthweighted0.5abs', '0.3227356606213898']","['participation coefficientweighted0.5keep', '0.006354496676262422']",-0.13609829875996182
"['strengthweighted0.5abs', '0.3227356606213898']","['strengthbinarize0.5keep', '0.29517426687424786']",-0.10096718776759704
"['strengthweighted0.5abs', '0.3227356606213898']","['betweennness centralitybinarize0.5keep', '0.32009078294553517']",-0.514918591258852
"['strengthweighted0.5abs', '0.3227356606213898']","['clusteringbinarize0.5keep', '0.3085761194335849']",0.6823265972221987
"['strengthweighted0.5abs', '0.3227356606213898']","['eigenvector centralitybinarize0.5keep', '0.29469149417569507']",-0.057068568061126985
"['strengthweighted0.5abs', '0.3227356606213898']","['local efficiencybinarize0.5keep', '0.3085930015505808']",0.6823275764534235
"['strengthweighted0.5abs', '0.3227356606213898']","['global efficiencybinarize0.5keep', '0.0030632451400728344']",-0.0669929716189937
"['strengthweighted0.5abs', '0.3227356606213898']","['modularitybinarize0.5keep', '0.0030447983250382338']",0.21751226232290155
"['strengthweighted0.5abs', '0.3227356606213898']","['participation coefficientbinarize0.5keep', '0.0011987880596316947']",-0.06946555059343895
"['strengthweighted0.5abs', '0.3227356606213898']","['strengthweighted0.3keep', '0.34008547162435154']",0.8637114440716944
"['strengthweighted0.5abs', '0.3227356606213898']","['betweennness centralityweighted0.3keep', '0.2826499830585747']",0.20886578347583776
"['strengthweighted0.5abs', '0.3227356606213898']","['clusteringweighted0.3keep', '0.3383410890867957']",0.6630709798725598
"['strengthweighted0.5abs', '0.3227356606213898']","['eigenvector centralityweighted0.3keep', '0.34204583609011874']",0.5492083777874792
"['strengthweighted0.5abs', '0.3227356606213898']","['local efficiencyweighted0.3keep', '0.3613123377084164']",0.6999676800323869
"['strengthweighted0.5abs', '0.3227356606213898']","['global efficiencyweighted0.3keep', '9.295783729679208e-05']",0.3060103683524285
"['strengthweighted0.5abs', '0.3227356606213898']","['modularityweighted0.3keep', '0.00024038296319295327']",0.12315400542766307
"['strengthweighted0.5abs', '0.3227356606213898']","['participation coefficientweighted0.3keep', '0.005976665428369277']",0.08123776494450607
"['strengthweighted0.5abs', '0.3227356606213898']","['strengthbinarize0.3keep', '0.31650412748811985']",0.5480645328515666
"['strengthweighted0.5abs', '0.3227356606213898']","['betweennness centralitybinarize0.3keep', '0.26924206925584815']",-0.05439559311655649
"['strengthweighted0.5abs', '0.3227356606213898']","['clusteringbinarize0.3keep', '0.2939158568042721']",0.48416337629737927
"['strengthweighted0.5abs', '0.3227356606213898']","['eigenvector centralitybinarize0.3keep', '0.34355570469275865']",0.38259445472160364
